"File","Status","Ratio"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Wizard\datasets\names\wizard_first.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\speech\accent-systems.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Wraith\datasets\names\wraith-name-format.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\preferences\humanoid-character-profile.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_EinsteinEngines\metabolism\metabolizer-types.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\goida.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\speech\speech-name-relay.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_DV\cosmiccult\book.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Shitmed\datasets\names\abductor_scientist_prefix.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Shitmed\datasets\names\abductor_names.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\datasets\names\borg.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Shitmed\species\scurret.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\xenoarchaeology\artifact-hints.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Wraith\datasets\names\wraith-names.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Impstation\datasets\decapoid_first.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\guidebook\entity-effects\healthchange.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\uitoolkit.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Heretic\heretic\ascensions.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\gases\gases.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\set-selector\selectable-sets.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\random-metadata\random-metadata.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\devil\grip.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\enchanting\enchants.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\game-ticking\game-presets\preset-revolutionary.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\names_tider_last.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\stack\stacks.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\species\kobold.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\accent\accents.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\undetermined-items\headofsecurity-undetermined.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\chat\chat-stacking.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\conquest.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\species\bananamen.ftl","untranslated","0"
